PuhnPkpJvCkhqlmXoPj	3966630129	29	18	26	24.3333	9302
TnBmaQVKLyvMJswXCwEE	6746916820	12	52	1	21.6667	9480
nEPhVkHmeqMBhSoDAp	0994457621	0	44	81	41.6667	6665
EVAGtmPBqALSGW	2980457339	55	85	42	60.6667	2538
zMmiwxQYafEAcuNgJobt	5858857133	3	51	91	48.3333	5210
UKVtjYLyyeWLtuBxjMyoDwy	0893229261	55	41	15	37	7600
gDkzKPWpjqOg	1420858537	83	91	48	74	728
YqWARQaLGROiGPOIKqAFUOt	7140707809	72	53	40	55	3697
twxJSRDSt	4336682465	96	19	48	54.3333	3825
YJGGmPKe	6545564153	17	3	37	19	9634
RyqLWfXOSSCHdjnCmu	6564291138	43	88	87	72.6667	849
GcxRkpYmobrFnPUNjvFv	7954466324	77	85	35	65.6667	1709
fKloZhiSrf	6042743827	98	78	62	79.3333	377
IwZjSoGiHdxdetrYhzDoLPgp	9276265499	63	81	48	64	1980
NLkUNx	2070042739	86	16	12	38	7419
jtUBOWDfW	2760583300	44	35	24	34.3333	8062
EDxBb	4937046608	19	85	34	46	5729
DCDAjPFTcKEBOFJVAp	3563154992	60	5	18	27.6667	8962
zGEZlNgnhkTRLLc	8637209963	98	12	49	53	4126
mZXfE	6354984589	75	38	26	46.3333	5655
LuzLIziEVzxFNloKZOdYMi	6837926599	23	6	19	16	9768
YjFrlvxptyHOKjkS	1245259547	91	87	32	70	1127
pXIYDLmzAE	2245260186	14	19	11	14.6667	9825
XSHSSgbVjVhthLlYofZUd	5847059712	53	26	39	39.3333	7150
gdpzHkikLTeynjUOn	2645070099	18	19	26	21	9516
OsKfmFMVAWc	9093497878	78	26	41	48.3333	5210
yUqeFcDmphgdZPccMQmnyT	0689933972	72	52	2	42	6597
kZXtKSxqblSCHdCsQ	6692608944	65	32	39	45.3333	5894
oxmfKZSwtvyggUDkqepXYXk	1044615266	48	81	94	74.3333	698
XNvleQxEaLfIpfawFD	5083419896	35	98	68	67	1526
iKrdxikEUHpgqeRNBLYxFZ	1582202675	24	54	19	32.3333	8394
RUzhgmgHOvgPKYHk	4935599405	61	78	13	50.6667	4706
qBVodgRAjRCpMlUuP	7373098026	73	21	86	60	2672
CjIFouuru	7476904918	46	85	72	67.6667	1426
ObXtUkBfeNvNVlJQ	4606308048	77	23	23	41	6801
QBqircn	8029920131	86	29	89	68	1379
wCxfZujKIgsLPJtffPmNHeSm	7002800541	7	93	37	45.6667	5820
ktVUzCZkBF	0650903177	81	62	5	49.3333	4984
dkaLRWGlqPn	8816184041	11	94	60	55	3697
kgxaYJiuQHXLAeDk	8350942215	49	26	23	32.6667	8344
ZWHozbSbMxTUGxOW	4555133363	64	11	72	49	5050
bSSkErUDNORY	1386368509	39	19	60	39.3333	7150
GibevmptNvpYvzHRbIvX	4879087738	22	24	33	26.3333	9111
MBssZpqau	7260373136	26	25	75	42	6597
